Giocatore,Squadra,Gol Totali,Anno
Ibanez Da Silva Roger,Roma,3,2022
Saponara Riccardo,Fiorentina,3,2022
Shomurodov Eldor,Roma,3,2022
Diaz Brahim,Milan,3,2022
Ilicic Josip,Atalanta,3,2022
De Ligt Matthijs,Juventus,3,2022
Locatelli Manuel,Juventus,3,2022
Erlic Martin,Spezia,2,2022
Yoshida Maya,Sampdoria,2,2022
Cristante Bryan,Roma,2,2022
Henderson Liam,Empoli,2,2022
Praet Dennis,Torino,2,2022
Forestieri Fernando,Udinese,2,2022
Bennacer Ismael,Milan,2,2022
Samardzic Lazar,Udinese,2,2022
Lasagna Kevin,Verona,2,2022
Zaniolo Nicolò,Roma,2,2022
Gagliardini Roberto,Inter,2,2022
Defrel Gregoire André,Sassuolo,2,2022
Dimarco Federico,Inter,2,2022
Lopez Maxime,Sassuolo,2,2022
Success Isaac,Udinese,2,2022
Miranchuk Aleksey,Atalanta,2,2022
Marì Pablo,Udinese,2,2022
Duncan Alfred Joseph,Fiorentina,2,2022
Sansone Nicola,Bologna,2,2022
Calabria Davide,Milan,2,2022
Stulac Leo,Empoli,2,2022
Zaccagni Mattia,Verona,2,2022
Bandinelli Filippo,Empoli,2,2022
Rodrigo Becao Nascimento Franca,Udinese,2,2022
Nzola M'Bala,Spezia,2,2022
Chiesa Federico,Juventus,2,2022
Romagnoli Simone,Empoli,2,2022
Cabral Arthur,Fiorentina,2,2022
Ceccaroni Pietro,Venezia,2,2022
Afena-Gyan Felix Ohene,Roma,2,2022
Maleh Youssef,Fiorentina,2,2022
Fares Mohamed Salim,Genoa,2,2022
Djuricic Filip,Sassuolo,2,2022
Maggiore Giulio,Spezia,2,2022
De Sciglio Mattia,Juventus,2,2022
Rebic Ante,Milan,2,2022
Sergio Oliveira Miguel,Roma,2,2022
Theate Arthur,Bologna,2,2022
Coulibaly Mamadou,Salernitana,2,2022
Brozovic Marcelo,Inter,2,2022
La Mantia Andrea,Empoli,2,2022
Darmian Matteo,Inter,2,2022
Ederson José dos Santos Lourenço da Silva,Salernitana,2,2022
Florenzi Alessandro,Milan,2,2022
Portanova Manolo,Genoa,1,2022
Sala Jacopo,Spezia,1,2022
Haps Ridgeciano,Venezia,1,2022
Ferrari Alex,Sampdoria,1,2022
Makengo Jean-Victor,Udinese,1,2022
Martinez Quarta Lucas,Fiorentina,1,2022
Kalulu Kyatengwa Pierre,Milan,1,2022
Augello Tommaso,Sampdoria,1,2022
Caceres Martin,Cagliari,1,2022
Zappacosta Davide,Atalanta,1,2022
Hongla Martin,Verona,1,2022
Bastoni Alessandro,Inter,1,2022
Bove Edoardo,Roma,1,2022
Badelj Milan,Genoa,1,2022
Antiste Janis,Spezia,1,2022
Ricci Samuele,Empoli,1,2022
Ekdal Albin,Sampdoria,1,2022
Bessa Daniel,Verona,1,2022
Kulusevski Dejan,Juventus,1,2022
Perez Carles,Roma,1,2022
Cataldi Danilo,Lazio,1,2022
Milenkovic Nikola,Fiorentina,1,2022
Romagnoli Alessio,Milan,1,2022
Di Lorenzo Giovanni,Napoli,1,2022
Ceccherini Federico,Verona,1,2022
Palomino José Luis,Atalanta,1,2022
Vecino Matías,Inter,1,2022
Bourabia Mehdi,Spezia,1,2022
Ekuban Carl Ansah,Genoa,1,2022
Fazio Federico,Salernitana,1,2022
Murru Nicola,Sampdoria,1,2022
Caicedo Felipe,Genoa,1,2022
Melegoni Filippo,Genoa,1,2022
Asllani Kristjan,Empoli,1,2022
Nestorovski Ilija,Udinese,1,2022
Ayhan Kaan,Sassuolo,1,2022
Kovalenko Viktor,Spezia,1,2022
Lazovic Darko,Verona,1,2022
Cabral Jovane,Lazio,1,2022
Nuytinck Bram,Udinese,1,2022
Amian Kelvin,Spezia,1,2022
Maldini Daniel,Milan,1,2022
Depaoli Fabio,Verona,1,2022
Strelec David,Spezia,1,2022
Pellegri Pietro,Torino,1,2022
Demiral Merih,Atalanta,1,2022
Vidal Arturo,Inter,1,2022
Bernardeschi Federico,Juventus,1,2022
Piccoli Roberto,Atalanta,1,2022
Castrovilli Gaetano,Fiorentina,1,2022
Kastanos Grigoris,Salernitana,1,2022
Santander Federico,Bologna,1,2022
D'Ambrosio Danilo,Inter,1,2022
Gudmundsson Albert,Genoa,1,2022
Caldara Mattia,Venezia,1,2022
Toloi Rafael,Atalanta,1,2022
Hristov Petko,Spezia,1,2022
Sensi Stefano,Sampdoria,1,2022
Scalvini Giorgio,Atalanta,1,2022
Ferrari Gian Marco,Sassuolo,1,2022
Cambiaso Andrea,Genoa,1,2022
Vasquez Johan,Genoa,1,2022
Altare Giorgio,Cagliari,1,2022
Lobotka Stanislav,Napoli,1,2022
Danilo Luiz da Silva,Juventus,1,2022
Lykogiannis Charalampos,Cagliari,1,2022
Juan Jesus Guilherme,Napoli,1,2022
Cissé Moustapha,Atalanta,1,2022
Ikone Jonathan,Fiorentina,1,2022
Johnsen Dennis,Venezia,1,2022
Pessina Matteo,Atalanta,1,2022
Kiyine Sofian,Venezia,1,2022
Hysaj Elseid,Lazio,1,2022
Demme Diego,Napoli,1,2022
Djimsiti Berat,Atalanta,1,2022
Busio Gianluca Cristiano,Venezia,1,2022
Zortea Nadir,Salernitana,1,2022
Cancellieri Matteo,Verona,1,2022
Arslan Tolgay,Udinese,1,2022
Conti Andrea,Sampdoria,1,2022
Bianchi Flavio,Genoa,1,2022
Patric Gabarron Gil,Lazio,1,2022
Verdi Simone,Torino,1,2022
Gosens Robin,Atalanta,1,2022
Zakaria Denis,Juventus,1,2022
Maehle Joakim,Atalanta,1,2022
Mancuso Leonardo,Empoli,1,2022
Radovanovic Ivan,Salernitana,1,2022
Ranieri Luca,Salernitana,1,2022
Callejon José Maria,Fiorentina,1,2022
Odriozola Alvaro,Fiorentina,1,2022
Schouten Jerdy,Bologna,1,2022
Stojanovic Petar,Empoli,1,2022
Souza Silva Walace,Udinese,1,2022
Freuler Remo,Atalanta,1,2022
Ilic Ivan,Verona,1,2022
Forte Francesco,Venezia,1,2022
Ceppitelli Luca,Cagliari,1,2022
Marusic Adam,Lazio,1,2022
Volpato Cristian,Roma,1,2022
Saelemaekers Alexis,Milan,1,2022
Simy Tochukwu Simeon Nwankwo,Salernitana,1,2022
Amrabat Sofyan,Fiorentina,1,2022
Bellanova Raoul,Cagliari,1,2022
Gondo Cedric,Salernitana,1,2022
Schiavone Andrea,Salernitana,1,2022
