Giocatore,Squadra,Gol Totali,Anno
Immobile Ciro,Lazio,27,2022
Martinez Lautaro,Inter,21,2022
Simeone Giovanni Pablo,Verona,17,2022
Abraham Tammy,Roma,17,2022
Scamacca Gianluca,Sassuolo,16,2022
Berardi Domenico,Sassuolo,15,2022
Osimhen Victor,Napoli,14,2022
Arnautovic Marko,Bologna,14,2022
Joao Pedro Guerra Cunha,Cagliari,13,2022
Pasalic Mario,Atalanta,13,2022
Dzeko Edin,Inter,13,2022
Pinamonti Andrea,Empoli,13,2022
Deulofeu Gerard,Udinese,13,2022
Caprari Gianluca,Verona,12,2022
Caputo Francesco,Sampdoria,11,2022
Giroud Olivier,Milan,11,2022
Beto Norberto Bercique Gomes,Udinese,11,2022
Insigne Lorenzo,Napoli,11,2022
Barak Antonin,Verona,11,2022
Leao Rafael,Milan,11,2022
Milinkovic-Savic Sergej,Lazio,11,2022
Mertens Dries,Napoli,11,2022
Dybala Paulo,Juventus,10,2022
Raspadori Giacomo,Sassuolo,10,2022
Bonazzoli Federico,Salernitana,10,2022
Zapata Duvan,Atalanta,10,2022
Pedro Rodriguez Ledesma,Lazio,9,2022
Destro Mattia,Genoa,9,2022
Pellegrini Lorenzo,Roma,9,2022
Muriel Luis,Atalanta,9,2022
Henry Thomas,Venezia,9,2022
Morata Alvaro,Juventus,9,2022
Verde Daniele,Spezia,8,2022
Belotti Andrea,Torino,8,2022
Ibrahimovic Zlatan,Milan,8,2022
Perisic Ivan,Inter,8,2022
Lucero Molina Nahuel,Udinese,8,2022
Ruiz Fabian,Napoli,7,2022
Calhanoglu Hakan,Inter,7,2022
Traorè Hamed Junior,Sassuolo,7,2022
Candreva Antonio,Sampdoria,7,2022
Okereke David Chidozie,Venezia,7,2022
Aramu Mattia,Venezia,7,2022
Brekalo Josip,Torino,7,2022
Gonzalez Nicolas,Fiorentina,7,2022
Kessie Franck,Milan,6,2022
Criscito Domenico,Genoa,6,2022
Gabbiadini Manolo,Sampdoria,6,2022
Correa Joaquín,Inter,6,2022
Bajrami Nedim,Empoli,6,2022
Vlahovic Dusan,Juventus,23,2022
Orsolini Riccardo,Bologna,6,2022
Zielinski Piotr,Napoli,6,2022
Felipe Anderson Pereira,Lazio,6,2022
Gyasi Emmanuel,Spezia,6,2022
Barrow Musa,Bologna,6,2022
Malinovskyi Ruslan,Atalanta,6,2022
Zurkowski Szymon,Empoli,6,2022
Sanabria Antonio,Torino,6,2022
Udogie Destiny,Udinese,5,2022
Luis Alberto Romero,Lazio,5,2022
Hernandez Theo,Milan,5,2022
Verdi Simone,Salernitana,5,2022
Bonucci Leonardo,Juventus,5,2022
Hickey Aaron,Bologna,5,2022
Djuric Milan,Salernitana,5,2022
Tonali Sandro,Milan,5,2022
Di Francesco Federico,Empoli,5,2022
Dumfries Denzel,Inter,5,2022
Torreira Lucas,Fiorentina,5,2022
Mkhitaryan Henrikh,Roma,5,2022
Kean Moise,Juventus,5,2022
Sanchez Alexis,Inter,5,2022
Pavoletti Leonardo,Cagliari,5,2022
Lozano Hirving,Napoli,5,2022
Lukic Sasa,Torino,5,2022
Manaj Rey,Spezia,5,2022
Messias Junior Walter,Milan,5,2022
Deiola Alessandro,Cagliari,4,2022
Zaccagni Mattia,Lazio,4,2022
Quagliarella Fabio,Sampdoria,4,2022
Koopmeiners Theun,Atalanta,4,2022
Pobega Tommaso,Torino,4,2022
Pereiro Gaston,Cagliari,4,2022
Bonaventura Giacomo,Fiorentina,4,2022
Rrahmani Amir,Napoli,4,2022
Faraoni Davide,Verona,4,2022
Cuadrado Juan,Juventus,4,2022
Tameze Adrien,Verona,4,2022
Acerbi Francesco,Lazio,4,2022
Veretout Jordan,Roma,4,2022
Biraghi Cristiano,Fiorentina,4,2022
Pussetto Ignacio,Udinese,4,2022
Frattesi Davide,Sassuolo,4,2022
Kalinic Nikola,Verona,4,2022
Koulibaly Kalidou,Napoli,3,2022
Crnigoj Domen,Venezia,3,2022
Smalling Chris,Roma,3,2022
Bremer Gleison,Torino,3,2022
Politano Matteo,Napoli,3,2022
Elmas Eljif,Napoli,3,2022
Sottil Riccardo,Fiorentina,3,2022
Singo Wilfried Stephane,Torino,3,2022
Thorsby Morten,Sampdoria,3,2022
Lazzari Manuel,Lazio,3,2022
McKennie Wenston,Juventus,3,2022
Bastoni Simone,Spezia,3,2022
Skriniar Milan,Inter,3,2022
Pjaca Marko,Torino,3,2022
Pereyra Roberto,Udinese,3,2022
De Roon Marten,Atalanta,3,2022
Cutrone Patrick,Empoli,3,2022
Agudelo Kevin Andres,Spezia,3,2022
El Shaarawy Stephan,Roma,3,2022
Svanberg Mattias,Bologna,3,2022
Piatek Krzysztof,Fiorentina,3,2022
Petagna Andrea,Napoli,3,2022
Sabiri Abdelhamid,Sampdoria,3,2022
Keita Baldé Diao,Cagliari,3,2022
Barella Nicolò,Inter,3,2022
De Silvestri Lorenzo,Bologna,3,2022
