squadra,totale_gol,totale_gol_subiti,media_gol_segnati,media_gol_subiti,totale_partite,vittorie,pareggi,sconfitte,% vittorie,% pareggi,% sconfitte,differenza_reti,punti,anno
Napoli,94,39,2.473684210526316,1.0263157894736843,38,26,8,4,68.42105263157895,21.052631578947366,10.526315789473683,55,86,2017
Atalanta,62,41,1.631578947368421,1.0789473684210529,38,21,9,8,55.26315789473685,23.684210526315788,21.052631578947366,21,72,2017
Lazio,74,51,1.947368421052632,1.3421052631578947,38,21,7,10,55.26315789473685,18.421052631578945,26.31578947368421,23,70,2017
Milan,57,45,1.5,1.1842105263157894,38,18,9,11,47.368421052631575,23.684210526315788,28.947368421052637,12,63,2017
Inter,72,49,1.894736842105263,1.2894736842105263,38,19,5,14,50.0,13.157894736842104,36.84210526315789,23,62,2017
Fiorentina,63,57,1.6578947368421053,1.5,38,16,12,10,42.10526315789473,31.57894736842105,26.31578947368421,6,60,2017
Torino,71,66,1.868421052631579,1.736842105263158,38,13,14,11,34.21052631578947,36.84210526315789,28.947368421052637,5,53,2017
Sampdoria,49,55,1.2894736842105263,1.4473684210526316,38,12,12,14,31.57894736842105,31.57894736842105,36.84210526315789,-6,48,2017
Cagliari,55,76,1.4473684210526316,2.0,38,14,5,19,36.84210526315789,13.157894736842104,50.0,-21,47,2017
Sassuolo,58,63,1.5263157894736843,1.6578947368421053,38,13,7,18,34.21052631578947,18.421052631578945,47.368421052631575,-5,46,2017
Udinese,47,56,1.236842105263158,1.4736842105263157,38,12,9,17,31.57894736842105,23.684210526315788,44.73684210526316,-9,45,2017
Chievo,43,61,1.131578947368421,1.605263157894737,38,12,7,19,31.57894736842105,18.421052631578945,50.0,-18,43,2017
Bologna,40,58,1.0526315789473684,1.5263157894736843,38,11,8,19,28.947368421052637,21.052631578947366,50.0,-18,41,2017
Genoa,38,64,1.0,1.6842105263157894,38,9,9,20,23.684210526315788,23.684210526315788,52.63157894736842,-26,36,2017
Crotone,34,58,0.8947368421052632,1.5263157894736843,38,9,7,22,23.684210526315788,18.421052631578945,57.89473684210527,-24,34,2017
Empoli,29,61,0.7631578947368421,1.605263157894737,38,8,8,22,21.052631578947366,21.052631578947366,57.89473684210527,-32,32,2017
Palermo,33,77,0.868421052631579,2.026315789473684,38,6,8,24,15.789473684210526,21.052631578947366,63.1578947368421,-44,26,2017
Pescara,37,81,0.9736842105263158,2.131578947368421,38,3,9,26,7.894736842105263,23.684210526315788,68.42105263157895,-44,18,2017
Juventus,86,24,2.263157894736842,0.631578947368421,38,30,5,3,78.94736842105263,13.157894736842104,7.894736842105263,62,95,2018
Napoli,77,29,2.026315789473684,0.7631578947368421,38,28,7,3,73.68421052631578,18.421052631578945,7.894736842105263,48,91,2018
Roma,61,28,1.605263157894737,0.7368421052631579,38,23,8,7,60.526315789473685,21.052631578947366,18.421052631578945,33,77,2018
Inter,66,30,1.736842105263158,0.7894736842105263,38,20,12,6,52.63157894736842,31.57894736842105,15.789473684210526,36,72,2018
Lazio,89,49,2.3421052631578947,1.2894736842105263,38,21,9,8,55.26315789473685,23.684210526315788,21.052631578947366,40,72,2018
Milan,56,42,1.4736842105263157,1.105263157894737,38,18,10,10,47.368421052631575,26.31578947368421,26.31578947368421,14,64,2018
Atalanta,57,39,1.5,1.0263157894736843,38,16,12,10,42.10526315789473,31.57894736842105,26.31578947368421,18,60,2018
Fiorentina,54,46,1.4210526315789471,1.2105263157894737,38,16,9,13,42.10526315789473,23.684210526315788,34.21052631578947,8,57,2018
Sampdoria,56,60,1.4736842105263157,1.5789473684210529,38,16,6,16,42.10526315789473,15.789473684210526,42.10526315789473,-4,54,2018
Torino,54,46,1.4210526315789471,1.2105263157894737,38,13,15,10,34.21052631578947,39.47368421052632,26.31578947368421,8,54,2018
Sassuolo,29,59,0.7631578947368421,1.5526315789473684,38,11,10,17,28.947368421052637,26.31578947368421,44.73684210526316,-30,43,2018
Genoa,33,43,0.868421052631579,1.131578947368421,38,11,8,19,28.947368421052637,21.052631578947366,50.0,-10,41,2018
Udinese,48,63,1.263157894736842,1.6578947368421053,38,12,4,22,31.57894736842105,10.526315789473683,57.89473684210527,-15,40,2018
Chievo,36,59,0.9473684210526316,1.5526315789473684,38,10,10,18,26.31578947368421,26.31578947368421,47.368421052631575,-23,40,2018
Cagliari,33,61,0.868421052631579,1.605263157894737,38,11,6,21,28.947368421052637,15.789473684210526,55.26315789473685,-28,39,2018
Bologna,40,52,1.0526315789473684,1.368421052631579,38,11,6,21,28.947368421052637,15.789473684210526,55.26315789473685,-12,39,2018
Spal,39,59,1.0263157894736843,1.5526315789473684,38,8,14,16,21.052631578947366,36.84210526315789,42.10526315789473,-20,38,2018
Crotone,40,66,1.0526315789473684,1.736842105263158,38,9,8,21,23.684210526315788,21.052631578947366,55.26315789473685,-26,35,2018
Verona,30,78,0.7894736842105263,2.0526315789473686,38,7,4,27,18.421052631578945,10.526315789473683,71.05263157894737,-48,25,2018
Benevento,33,84,0.868421052631579,2.210526315789474,38,6,3,29,15.789473684210526,7.894736842105263,76.31578947368422,-51,21,2018
Juventus,70,30,1.8421052631578947,0.7894736842105263,38,28,6,4,73.68421052631578,15.789473684210526,10.526315789473683,40,90,2019
Napoli,74,36,1.947368421052632,0.9473684210526316,38,24,7,7,63.1578947368421,18.421052631578945,18.421052631578945,38,79,2019
Inter,57,33,1.5,0.868421052631579,38,20,9,9,52.63157894736842,23.684210526315788,23.684210526315788,24,69,2019
Atalanta,77,46,2.026315789473684,1.2105263157894737,38,20,9,9,52.63157894736842,23.684210526315788,23.684210526315788,31,69,2019
Milan,55,36,1.4473684210526316,0.9473684210526316,38,19,11,8,50.0,28.947368421052637,21.052631578947366,19,68,2019
Roma,66,48,1.736842105263158,1.263157894736842,38,18,12,8,47.368421052631575,31.57894736842105,21.052631578947366,18,66,2019
Torino,52,37,1.368421052631579,0.9736842105263158,38,16,15,7,42.10526315789473,39.47368421052632,18.421052631578945,15,63,2019
Lazio,56,46,1.4736842105263157,1.2105263157894737,38,17,8,13,44.73684210526316,21.052631578947366,34.21052631578947,10,59,2019
Sampdoria,60,51,1.5789473684210529,1.3421052631578947,38,15,8,15,39.47368421052632,21.052631578947366,39.47368421052632,9,53,2019
Bologna,48,56,1.263157894736842,1.4736842105263157,38,11,11,16,28.947368421052637,28.947368421052637,42.10526315789473,-8,44,2019
