giocatore,squadra,gol_totali,anno
Chochev Ivaylo,Palermo,3,2017
Bonaventura Giacomo,Milan,3,2017
Ionita Artur,Cagliari,3,2017
Locatelli Manuel,Milan,2,2017
Cuadrado Juan,Juventus,2,2017
Koulibaly Kalidou,Napoli,2,2017
Nalini Andrea,Crotone,2,2017
Acquah Afriyie,Torino,2,2017
Maxi Lopez Gastón,Torino,2,2017
Campagnaro Hugo Armando,Pescara,2,2017
Zarate Mauro,Fiorentina,2,2017
Hoedt Wesley,Lazio,2,2017
Murgia Alessandro,Lazio,2,2017
Dessena Daniele,Cagliari,2,2017
Barreto Edgar Osvaldo,Sampdoria,2,2017
Saponara Riccardo,Fiorentina,2,2017
Bruno Peres Da Silva,Roma,2,2017
Ninkovic Nikola,Genoa,2,2017
Viviani Federico,Bologna,2,2017
Goldaniga Edoardo,Palermo,2,2017
Costa Andrea,Empoli,2,2017
Badelj Milan,Fiorentina,2,2017
Palladino Raffaele,Crotone,2,2017
Totti Francesco,Roma,2,2017
Krunic Rade,Empoli,2,2017
Paletta Gabriel Alejandro,Milan,2,2017
Chiellini Giorgio,Juventus,2,2017
Cerri Alberto,Pescara,2,2017
De Guzman Jonathan,Chievo,2,2017
Manaj Rey,Pescara,2,2017
Radu Stefan Daniel,Lazio,2,2017
Di Gennaro Davide Andrea Luca,Cagliari,2,2017
Hiljemark Oscar,Genoa,2,2017
Astori Davide,Fiorentina,2,2017
Rugani Daniele,Juventus,2,2017
Gagliardini Roberto,Inter,2,2017
Chiriches Vlad,Napoli,2,2017
Fazio Federico,Roma,2,2017
Pasqual Manuel,Empoli,2,2017
Tonelli Lorenzo,Napoli,2,2017
Ricci Federico,Sassuolo,2,2017
De Vrij Stefan,Lazio,2,2017
Alvarez Ricardo Gabriel,Sampdoria,2,2017
Saponara Riccardo,Empoli,2,2017
Danilo Larangeira,Udinese,2,2017
Dani Alves Da Silva,Juventus,2,2017
Lazovic Darko,Genoa,2,2017
Rodriguez Gonzalo,Fiorentina,1,2017
Gobbi Massimo,Chievo,1,2017
Magnanelli Francesco,Sassuolo,1,2017
Memushaj Ledian,Pescara,1,2017
Bruno Alves Eduardo,Cagliari,1,2017
Croce Daniele,Empoli,1,2017
Luis Alberto Romero,Lazio,1,2017
Padoin Simone,Cagliari,1,2017
Adjapong Claud,Sassuolo,1,2017
Borja Valero Iglesias,Fiorentina,1,2017
Crecco Luca,Lazio,1,2017
Lemina Mario,Juventus,1,2017
Han Kwang-Song,Cagliari,1,2017
Allan Marques Loureiro,Napoli,1,2017
Rosi Aleandro,Crotone,1,2017
Ajeti Arlind,Torino,1,2017
Pulgar Erick,Bologna,1,2017
Diamanti Alessandro,Palermo,1,2017
Felipe Dias da Silva,Udinese,1,2017
Zapata Cristian,Milan,1,2017
Honda Keisuke,Milan,1,2017
Cesar Bostjan,Chievo,1,2017
Peluso Federico,Sassuolo,1,2017
Lichtsteiner Stephan,Juventus,1,2017
Brugman Duarte Gaston,Pescara,1,2017
Kean Moise,Juventus,1,2017
Masina Adam,Bologna,1,2017
Tonev Aleksandar,Crotone,1,2017
Rossettini Luca,Torino,1,2017
Iturbe Juan Manuel,Torino,1,2017
Andreolli Marco,Inter,1,2017
Isla Mauricio,Cagliari,1,2017
Praet Dennis,Sampdoria,1,2017
Trajkovski Aleksandar,Palermo,1,2017
Mati Fernandez Ariel,Milan,1,2017
Bastien Samuel,Chievo,1,2017
Mazzitelli Luca,Sassuolo,1,2017
Hernanes Anderson,Juventus,1,2017
Grassi Alberto,Atalanta,1,2017
Mitrita Alexandru,Pescara,1,2017
Muntari Sulley,Pescara,1,2017
Maksimovic Nikola,Napoli,1,2017
Ceccherini Federico,Crotone,1,2017
Basta Dusan,Lazio,1,2017
Gakpé Serge,Genoa,1,2017
Capuano Marco,Cagliari,1,2017
Bruno Henrique Corsini,Palermo,1,2017
Angella Gabriele,Udinese,1,2017
Bertolacci Andrea,Milan,1,2017
Antei Luca,Sassuolo,1,2017
Aquilani Alberto,Pescara,1,2017
C. Sanchez Carlos,Fiorentina,1,2017
Sensi Stefano,Sassuolo,1,2017
Marchisio Claudio,Juventus,1,2017
Pinilla Mauricio Riccardo,Atalanta,1,2017
Laxalt Diego,Genoa,1,2017
Sampirisi Mario,Crotone,1,2017
De Silvestri Lorenzo,Torino,1,2017
Boyé Lucas,Torino,1,2017
Kondogbia Geoffrey,Inter,1,2017
Balic Andrija,Udinese,1,2017
Sallai Roland,Palermo,1,2017
Gamberini Alessandro,Chievo,1,2017
Duncan Alfred Joseph,Sassuolo,1,2017
Pellegri Pietro,Genoa,1,2017
Torosidis Vasilis,Bologna,1,2017
Zappacosta Davide,Torino,1,2017
Cataldi Danilo,Lazio,1,2017
Gonzalez Giancarlo,Palermo,1,2017
Martinez Josef Alexander,Torino,1,2017
Lombardi Cristiano,Lazio,1,2017
Gabriel Barbosa Almeida,Inter,1,2017
Benatia Mehdi,Juventus,1,2017
Biraghi Cristiano,Pescara,1,2017
Zajc Miha,Empoli,1,2017
Krejci Ladislav,Bologna,1,2017
Pisacane Fabio,Cagliari,1,2017
Romagnoli Alessio,Milan,1,2017
Cacciatore Fabrizio,Chievo,1,2017
Cannavaro Paolo,Sassuolo,1,2017
D'Alessandro Marco,Atalanta,1,2017
Thiam Mame Baba,Empoli,1,2017
Rigoni Nicola,Chievo,1,2017
Helander Filip,Bologna,1,2017
Muric Robert,Pescara,1,2017
Giaccherini Emanuele,Napoli,1,2017
Rohden Marcus,Crotone,1,2017
Moretti Emiliano,Torino,1,2017
Wallace Fortuna,Lazio,1,2017
Aleesami Haitam,Palermo,1,2017
Bellusci Giuseppe,Empoli,1,2017
Linetty Karol,Sampdoria,1,2017
Jajalo Mato,Palermo,1,2017
Icardi Mauro Emanuel,Inter,29,2018
Immobile Ciro,Lazio,29,2018
Dybala Paulo,Juventus,22,2018
Quagliarella Fabio,Sampdoria,19,2018
Mertens Dries,Napoli,18,2018
Dzeko Edin,Roma,16,2018
Higuaín Gonzalo,Juventus,16,2018
Simeone Giovanni Pablo,Fiorentina,14,2018
Milinkovic-Savic Sergej,Lazio,12,2018
Iago Falque Silva,Torino,12,2018
Inglese Roberto,Chievo,12,2018
Lasagna Kevin,Udinese,12,2018
Ilicic Josip,Atalanta,11,2018
Luis Alberto Romero,Lazio,11,2018
Zapata Duvan,Sampdoria,11,2018
Pavoletti Leonardo,Cagliari,11,2018
Perisic Ivan,Inter,11,2018
Antenucci Mirco,SPAL,11,2018
Politano Matteo,Sassuolo,10,2018
Callejon José Maria,Napoli,10,2018
Belotti Andrea,Torino,10,2018
Verdi Simone,Bologna,10,2018
Cutrone Patrick,Milan,10,2018
Khedira Sami,Juventus,9,2018
Cristante Bryan,Atalanta,9,2018
Insigne Lorenzo,Napoli,8,2018
Bonaventura Giacomo,Milan,8,2018
Veretout Jordan,Fiorentina,8,2018
Diabaté Cheick,Benevento,8,2018
Under Cengiz,Roma,7,2018
Trotta Marcello,Crotone,7,2018
Paloschi Alberto,SPAL,7,2018
Simy Tochukwu Simeon Nwankwo,Crotone,7,2018
Hamsik Marek,Napoli,7,2018
Barak Antonin,Udinese,7,2018
El Shaarawy Stephan,Roma,7,2018
Budimir Ante,Crotone,6,2018
Suso Jesus Fernandez,Milan,6,2018
Chiesa Federico,Fiorentina,6,2018
Ljajic Adem,Torino,6,2018
Papu Gomez Alejandro,Atalanta,6,2018
Destro Mattia,Bologna,6,2018
Calhanoglu Hakan,Milan,6,2018
De Vrij Stefan,Lazio,6,2018
Barella Nicolò,Cagliari,6,2018
Lapadula Gianluca,Genoa,6,2018
Kalinic Nikola,Milan,6,2018
Mandzukic Mario,Juventus,5,2018
Benassi Marco,Fiorentina,5,2018
Caprari Gianluca,Sampdoria,5,2018
Joao Pedro Guerra Cunha,Cagliari,5,2018
Pandev Goran,Genoa,5,2018
Perotti Diego,Roma,5,2018
Freuler Remo,Atalanta,5,2018
Stepinski Mariusz,Chievo,5,2018
Kownacki Dawid,Sampdoria,5,2018
Koulibaly Kalidou,Napoli,5,2018
Obi Joel,Torino,5,2018
Thereau Cyril,Fiorentina,5,2018
Kessie Franck,Milan,5,2018
Pjanic Miralem,Juventus,5,2018
Milik Arkadiusz,Napoli,5,2018
De Silvestri Lorenzo,Torino,5,2018
Berardi Domenico,Sassuolo,4,2018
Kean Moise,Verona,4,2018
Douglas Costa De Souza,Juventus,4,2018
Masiello Andrea,Atalanta,4,2018
De Paul Rodrigo Javier,Udinese,4,2018
Allan Marques Loureiro,Napoli,4,2018
Pazzini Giampaolo,Verona,4,2018
Niang M'Baye,Torino,4,2018
Alex Sandro Lobo Silva,Juventus,4,2018
Felipe Anderson Pereira,Lazio,4,2018
Brozovic Marcelo,Inter,4,2018
Skriniar Milan,Inter,4,2018
Zielinski Piotr,Napoli,4,2018
Bastos Quissanga Bartolomeu Jacinto,Lazio,4,2018
Parolo Marco,Lazio,4,2018
Petagna Andrea,Atalanta,4,2018
Coda Massimo,Benevento,4,2018
Torreira Lucas,Sampdoria,4,2018
Baselli Daniele,Torino,4,2018
Cuadrado Juan,Juventus,4,2018
Babacar Khouma,Fiorentina,4,2018
Nainggolan Radja,Roma,4,2018
Jankto Jakub,Udinese,4,2018
Palacio Rodrigo,Bologna,4,2018
Bernardeschi Federico,Juventus,4,2018
Grassi Alberto,SPAL,3,2018
Caceres Martin,Verona,3,2018
Floccari Sergio,SPAL,3,2018
Barrow Musa,Atalanta,3,2018
Eder Citadin,Inter,3,2018
Pulgar Erick,Bologna,3,2018
Matri Alessandro,Sassuolo,3,2018
Castro Lucas Nahuel,Chievo,3,2018
Marusic Adam,Lazio,3,2018
Cornelius Andreas,Atalanta,3,2018
Brignola Enrico,Benevento,3,2018
Viviani Federico,SPAL,3,2018
