Giocatore,Squadra,Gol Totali,Anno
Immobile Ciro,Lazio,36,2020
Cristiano Ronaldo Dos Santos Aveiro,Juventus,31,2020
Lukaku Romelu,Inter,23,2020
Caputo Francesco,Sassuolo,21,2020
Zapata Duvan,Atalanta,18,2020
Joao Pedro Guerra Cunha,Cagliari,18,2020
Muriel Luis,Atalanta,18,2020
Dzeko Edin,Roma,16,2020
Belotti Andrea,Torino,15,2020
Ilicic Josip,Atalanta,15,2020
Mancosu Marco,Lecce,14,2020
Berardi Domenico,Sassuolo,14,2020
Martinez Lautaro,Inter,14,2020
Simeone Giovanni Pablo,Cagliari,12,2020
Petagna Andrea,SPAL,12,2020
Cornelius Andreas,Parma,12,2020
Gabbiadini Manolo,Sampdoria,11,2020
Lapadula Gianluca,Lecce,11,2020
Milik Arkadiusz,Napoli,11,2020
Boga Jeremie,Sassuolo,11,2020
Rebic Ante,Milan,11,2020
Quagliarella Fabio,Sampdoria,11,2020
Dybala Paulo,Juventus,11,2020
Ibrahimovic Zlatan,Milan,10,2020
Lasagna Kevin,Udinese,10,2020
Chiesa Federico,Fiorentina,10,2020
Kulusevski Dejan,Parma,10,2020
Mertens Dries,Napoli,9,2020
Caicedo Felipe,Lazio,9,2020
Pasalic Mario,Atalanta,9,2020
Mkhitaryan Henrikh,Roma,9,2020
Correa Joaquín,Lazio,9,2020
Gosens Robin,Atalanta,9,2020
Pandev Goran,Genoa,9,2020
Barrow Musa,Bologna,9,2020
Calhanoglu Hakan,Milan,9,2020
Higuain Gonzalo,Juventus,8,2020
Criscito Domenico,Genoa,8,2020
Okaka Chuka Stefano,Udinese,8,2020
Malinovskyi Ruslan,Atalanta,8,2020
Insigne Lorenzo,Napoli,8,2020
Orsolini Riccardo,Bologna,8,2020
Di Carmine Samuel,Verona,8,2020
Donnarumma Alfredo,Brescia,7,2020
Kolarov Aleksandar,Roma,7,2020
De Paul Rodrigo Javier,Udinese,7,2020
Papu Gomez Alejandro,Atalanta,7,2020
Zaza Simone,Torino,7,2020
Pulgar Erick,Fiorentina,7,2020
Torregrossa Ernesto,Brescia,7,2020
Ramirez Gaston,Sampdoria,7,2020
Milinkovic-Savic Sergej,Lazio,7,2020
Palacio Rodrigo,Bologna,7,2020
Gervinho Gervais Lombe Yao Kouassi,Parma,7,2020
Pessina Matteo,Verona,7,2020
Vlahovic Dusan,Fiorentina,6,2020
Berenguer Alejandro,Torino,6,2020
Veretout Jordan,Roma,6,2020
Zaniolo Nicolò,Roma,6,2020
Inglese Roberto,Parma,6,2020
Nainggolan Radja,Cagliari,6,2020
Sanabria Antonio,Genoa,6,2020
Leao Rafael,Milan,6,2020
Kucka Juraj,Parma,6,2020
Hernandez Theo,Milan,6,2020
Bonazzoli Federico,Sampdoria,6,2020
Luis Alberto Romero,Lazio,6,2020
Kouamé Christian,Genoa,5,2020
Pinamonti Andrea,Genoa,5,2020
Milenkovic Nikola,Fiorentina,5,2020
Soriano Roberto,Bologna,5,2020
Perotti Diego,Roma,5,2020
Faraoni Davide,Verona,5,2020
Balotelli Mario,Brescia,5,2020
Candreva Antonio,Inter,5,2020
Djuricic Filip,Sassuolo,5,2020
Kalinic Nikola,Roma,5,2020
Linetty Karol,Sampdoria,4,2020
Cutrone Patrick,Fiorentina,4,2020
Manolas Kostantinos,Napoli,4,2020
Sanchez Alexis,Inter,4,2020
Traorè Hamed Junior,Sassuolo,4,2020
Piatek Krzysztof,Milan,4,2020
Ansaldi Cristian,Torino,4,2020
Kessie Franck,Milan,4,2020
De Ligt Matthijs,Juventus,4,2020
Lozano Hirving,Napoli,4,2020
Young Ashley,Inter,4,2020
Falco Filippo,Lecce,4,2020
Kluivert Justin,Roma,4,2020
De Vrij Stefan,Inter,4,2020
D'Ambrosio Danilo,Inter,4,2020
Bani Mattia,Bologna,4,2020
Gagliardini Roberto,Inter,4,2020
Callejon José Maria,Napoli,4,2020
Sansone Nicola,Bologna,4,2020
Pazzini Giampaolo,Verona,4,2020
Bonucci Leonardo,Juventus,3,2020
Di Lorenzo Giovanni,Napoli,3,2020
Gagliolo Riccardo,Parma,3,2020
Babacar Khouma,Lecce,3,2020
Defrel Gregoire André,Sassuolo,3,2020
Brozovic Marcelo,Inter,3,2020
Nestorovski Ilija,Udinese,3,2020
Pjanic Miralem,Juventus,3,2020
Lucioni Fabio,Lecce,3,2020
Chancellor Jhon,Brescia,3,2020
Llorente Fernando,Napoli,3,2020
Verre Valerio,Verona,3,2020
Borini Fabio,Verona,3,2020
Under Cengiz,Roma,3,2020
Pezzella German,Fiorentina,3,2020
Bonaventura Giacomo,Milan,3,2020
Calderoni Marco,Lecce,3,2020
Sensi Stefano,Inter,3,2020
Lazovic Darko,Verona,3,2020
Fofana Seko Mohamed,Udinese,3,2020
Bremer Gleison,Torino,3,2020
Stepinski Mariusz,Verona,3,2020
Ruiz Fabian,Napoli,3,2020
Caprari Gianluca,Sampdoria,3,2020
Ribery Franck,Fiorentina,3,2020
Valoti Mattia,SPAL,3,2020
Castrovilli Gaetano,Fiorentina,3,2020
Ramsey Aaron,Juventus,3,2020
Veloso Miguel Luis,Verona,3,2020
Smalling Chris,Roma,3,2020
Danilo Larangeira,Bologna,2,2020
Kurtic Jasmin,Parma,2,2020
Cassata Francesco,Genoa,2,2020
Verdi Simone,Torino,2,2020
Caprari Gianluca,Parma,2,2020
Castro Lucas Nahuel,Cagliari,2,2020
Politano Matteo,Napoli,2,2020
D'Alessandro Marco,SPAL,2,2020
Nandez Nahitan,Cagliari,2,2020
Iacoponi Simone,Parma,2,2020
Acerbi Francesco,Lazio,2,2020
Danilo Luiz da Silva,Juventus,2,2020
Sema Ken,Udinese,2,2020
La Mantia Andrea,Lecce,2,2020
Raspadori Giacomo,Sassuolo,2,2020
De Roon Marten,Atalanta,2,2020
Zaccagni Mattia,Verona,2,2020
Allan Marques Loureiro,Napoli,2,2020
Spalek Nikolas,Brescia,2,2020
Kurtic Jasmin,SPAL,2,2020
Djimsiti Berat,Atalanta,2,2020
Bruno Peres Da Silva,Roma,2,2020
Muldur Mert,Sassuolo,2,2020
Bastoni Alessandro,Inter,2,2020
Freuler Remo,Atalanta,2,2020
Zielinski Piotr,Napoli,2,2020
Di Francesco Federico,SPAL,2,2020
Biraghi Cristiano,Inter,2,2020
Barak Antonin,Lecce,2,2020
Poli Andrea,Bologna,2,2020
Iago Falque Silva,Genoa,2,2020
Marusic Adam,Lazio,2,2020
Farias Diego,Lecce,2,2020
Castillejo Samu,Milan,2,2020
Vecino Matías,Inter,2,2020
Toloi Rafael,Atalanta,2,2020
Zmrhal Jaromír,Brescia,2,2020
Cuadrado Juan,Juventus,2,2020
Ceppitelli Luca,Cagliari,2,2020
Saponara Riccardo,Lecce,2,2020
Palomino José Luis,Atalanta,2,2020
Schone Lasse,Genoa,2,2020
Jankto Jakub,Sampdoria,2,2020
Dessena Daniele,Brescia,2,2020
Borja Valero Iglesias,Inter,2,2020
Santander Federico,Bologna,1,2020
Maksimovic Nikola,Napoli,1,2020
Juwara Musa,Bologna,1,2020
Stryger Larsen Jens,Udinese,1,2020
Romero Cristian,Genoa,1,2020
Meccariello Biagio,Lecce,1,2020
Elmas Eljif,Napoli,1,2020
Radu Stefan Daniel,Lazio,1,2020
Salcedo Eddy,Verona,1,2020
Singo Wilfried Stephane,Torino,1,2020
Zapata Cristian,Genoa,1,2020
Toljan Jeremy,Sassuolo,1,2020
Faragò Paolo Pancrazio,Cagliari,1,2020
Tonali Sandro,Brescia,1,2020
Soumaoro Adama,Genoa,1,2020
Pereiro Gaston,Cagliari,1,2020
Rog Marko,Cagliari,1,2020
Cerri Alberto,SPAL,1,2020
Dawidowicz Pawel,Verona,1,2020
Donati Giulio,Lecce,1,2020
Pussetto Ignacio,Udinese,1,2020
Pisacane Fabio,Cagliari,1,2020
Parolo Marco,Lazio,1,2020
Karamoh Yann,Parma,1,2020
Badelj Milan,Fiorentina,1,2020
Mancini Gianluca,Roma,1,2020
Izzo Armando,Torino,1,2020
Rincon Tomas Eduardo,Torino,1,2020
Younes Amin,Napoli,1,2020
Espeto Strefezza Gabriel,SPAL,1,2020
Krejci Ladislav,Bologna,1,2020
Rodrigo Becao Nascimento Franca,Udinese,1,2020
Magnani Giangiacomo,Sassuolo,1,2020
Bastos Quissanga Bartolomeu Jacinto,Lazio,1,2020
Bisoli Dimitri,Brescia,1,2020
Demiral Merih,Juventus,1,2020
Douglas Costa De Souza,Juventus,1,2020
Calabria Davide,Milan,1,2020
Rogerio Oliveira da Silva,Sassuolo,1,2020
Missiroli Simone,SPAL,1,2020
Obiang Pedro,Sassuolo,1,2020
Ghezzal Rachid,Fiorentina,1,2020
Adekanye Bobby,Lazio,1,2020
Luiz Felipe Ramos Marchi,Lazio,1,2020
Barillà Antonino,Parma,1,2020
Chiellini Giorgio,Juventus,1,2020
Floccari Sergio,SPAL,1,2020
Cistana Andrea,Brescia,1,2020
Cataldi Danilo,Lazio,1,2020
Tomiyasu Takehiro,Bologna,1,2020
Rabiot Adrien,Juventus,1,2020
Demme Diego,Napoli,1,2020
Tabanelli Andrea,Lecce,1,2020
Gagliano Luca,Cagliari,1,2020
Benassi Marco,Fiorentina,1,2020
Haraslin Lukas,Sassuolo,1,2020
Bonifazi Kevin,Torino,1,2020
Ragatzu Daniele,Cagliari,1,2020
Sturaro Stefano,Genoa,1,2020
Barella Nicolò,Inter,1,2020
Shakhov Yevhen,Lecce,1,2020
Papetti Andrea,Brescia,1,2020
Godin Diego,Inter,1,2020
Romulo Orestes,Brescia,1,2020
Bernardeschi Federico,Juventus,1,2020
Leris Mehdi Pascal Marcel,Sampdoria,1,2020
Duncan Alfred Joseph,Fiorentina,1,2020
Chabot Julian,Sampdoria,1,2020
Traore Amad Diallo,Atalanta,1,2020
Agudelo Kevin Andres,Genoa,1,2020
Hysaj Elseid,Napoli,1,2020
Bourabia Mehdi,Sassuolo,1,2020
Sprocati Mattia,Parma,1,2020
Grassi Alberto,Parma,1,2020
Svanberg Mattias,Bologna,1,2020
Deiola Alessandro,Lecce,1,2020
Alex Sandro Lobo Silva,Juventus,1,2020
Darmian Matteo,Parma,1,2020
Majer Zan,Lecce,1,2020
Romagnoli Alessio,Milan,1,2020
Amrabat Sofyan,Verona,1,2020
Edera Simone,Torino,1,2020
Pellegrini Lorenzo,Roma,1,2020
Perez Carles,Roma,1,2020
Eriksen Christian,Inter,1,2020
Diawara Amadou,Roma,1,2020
Cerri Alberto,Cagliari,1,2020
Samir De Souza Santos,Udinese,1,2020
Spinazzola Leonardo,Roma,1,2020
Castagne Timothy,Atalanta,1,2020
Goldaniga Edoardo,Genoa,1,2020
Boateng Kevin-Prince,Fiorentina,1,2020
Dabo Bryan,SPAL,1,2020
Fazio Federico,Roma,1,2020
Saelemaekers Alexis,Milan,1,2020
Bennacer Ismael,Milan,1,2020
Kouamé Christian,Fiorentina,1,2020
Kumbulla Marash,Verona,1,2020
Skov Olsen Andreas,Bologna,1,2020
Esposito Sebastiano,Inter,1,2020
Lukic Sasa,Torino,1,2020
Askildsen Kristoffer,Sampdoria,1,2020
Bonifazi Kevin,SPAL,1,2020
