Club,Stadio,Capacità,Spettatori,Media spettatori,Anno
Inter,Giuseppe Meazza,75923,1105612,61423,2019
AC Milan,Giuseppe Meazza,75923,1038366,54651,2019
Juventus FC,Allianz Stadium,41507,745392,39231,2019
AS Roma,Olimpico di Roma,70634,733824,38622,2019
SS Lazio,Olimpico di Roma,70634,638996,33631,2019
ACF Fiorentina,Artemio Franchi,43147,591561,31135,2019
SSC Napoli,Diego Armando Maradona,54726,551003,29000,2019
Torino FC,Olimpico Grande Torino,28177,405527,21344,2019
Bologna FC,Stadio Renato Dall’Ara,36462,403511,21237,2019
Genoa CFC,Luigi Ferraris,34901,396531,20870,2019
Udinese Calcio,Bluenergy Stadium,25144,386249,20329,2019
UC Sampdoria,Luigi Ferraris,33205,385064,20267,2019
Atalanta,Gewiss Stadium,24950,347721,18301,2019
Parma Calcio,Ennio Tardini,22352,313919,16522,2019
Cagliari Calcio,Unipol Domus,16365,282017,14843,2019
SPAL,Paolo Mazza,16134,257628,13559,2019
Frosinone Calcio,Benito Stirpe,16227,238944,13275,2019
US Sassuolo,Mapei Stadium - Città del Tricolore,21584,237809,12516,2019
AC Chievo Verona,Marcantonio Bentegodi,39211,233420,12285,2019
Empoli FC,Carlo Castellani,19847,180615,9506,2019
