Giocatore,Squadra,Gol Totali,Anno
Fofana Seko Mohamed,Udinese,2,2019
Silvestre Matias Agustin,Empoli,2,2019
Hetemaj Perparim,Chievo,2,2019
Paganini Luca,Frosinone,2,2019
De Roon Marten,Atalanta,2,2019
Matri Alessandro,Sassuolo,2,2019
Paloschi Alberto,SPAL,2,2019
Rigoni Luca,Parma,2,2019
Romagnoli Alessio,Milan,2,2019
Praet Dennis,Sampdoria,2,2019
Lirola Pol,Sassuolo,2,2019
Sansone Nicola,Bologna,2,2019
Di Francesco Federico,Sassuolo,2,2019
Bonifazi Kevin,SPAL,2,2019
Samir De Souza Santos,Udinese,2,2019
Locatelli Manuel,Sassuolo,2,2019
Ceravolo Fabio Giovanni,Parma,2,2019
Borini Fabio,Milan,2,2019
Birsa Valter,Chievo,2,2019
Pellegrini Lorenzo,Roma,2,2019
Berenguer Alejandro,Torino,2,2019
Criscito Domenico,Genoa,2,2019
La Gumina Antonino,Empoli,2,2019
D'Ambrosio Danilo,Inter,2,2019
Djuricic Filip,Sassuolo,2,2019
Demiral Merih,Sassuolo,2,2019
Pjanic Miralem,Juventus,2,2019
Luiz Felipe Ramos Marchi,Lazio,1,2019
Danilo Larangeira,Bologna,1,2019
Bastoni Alessandro,Parma,1,2019
Joao Mario Naval,Inter,1,2019
Lyanco Evangelista,Bologna,1,2019
Sau Marco,Cagliari,1,2019
Ghoulam Faouzi,Napoli,1,2019
Mattiello Federico,Bologna,1,2019
Peluso Federico,Sassuolo,1,2019
Teodorczyk Lukasz,Udinese,1,2019
Bastos Quissanga Bartolomeu Jacinto,Lazio,1,2019
Manolas Kostantinos,Roma,1,2019
Dzemaili Blerim,Bologna,1,2019
Barella Nicolò,Cagliari,1,2019
Douglas Costa De Souza,Juventus,1,2019
Castro Lucas Nahuel,Cagliari,1,2019
Allan Marques Loureiro,Napoli,1,2019
Kownacki Dawid,Sampdoria,1,2019
Behrami Valon,Udinese,1,2019
Tomovic Nenad,Chievo,1,2019
Biraghi Cristiano,Fiorentina,1,2019
Brighi Matteo,Empoli,1,2019
Bourabia Mehdi,Sassuolo,1,2019
Calabria Davide,Milan,1,2019
Lapadula Gianluca,Genoa,1,2019
Calabresi Arturo,Bologna,1,2019
Gazzola Marcello,Parma,1,2019
N'Zonzi Steven,Roma,1,2019
Sammarco Paolo,Frosinone,1,2019
Sturaro Stefano,Genoa,1,2019
Bessa Daniel,Genoa,1,2019
Cancelo Joao,Juventus,1,2019
Musacchio Mateo,Milan,1,2019
Ceppitelli Luca,Cagliari,1,2019
Bakayoko Tiemoué,Milan,1,2019
Djimsiti Berat,Atalanta,1,2019
Kluivert Justin,Roma,1,2019
Cesar Bostjan,Chievo,1,2019
Palomino José Luis,Atalanta,1,2019
Dimarco Federico,Parma,1,2019
Aina Ola,Torino,1,2019
Stryger Larsen Jens,Udinese,1,2019
Goldaniga Edoardo,Frosinone,1,2019
Faragò Paolo Pancrazio,Cagliari,1,2019
Rogerio Oliveira da Silva,Sassuolo,1,2019
Mario Rui Silva Duarte,Napoli,1,2019
Ghiglione Paolo,Frosinone,1,2019
Mraz Samuel,Empoli,1,2019
Marlon Da Silva,Sassuolo,1,2019
Paquetà Lucas Tolentino Coelho,Milan,1,2019
Chibsah Raman Yussif,Frosinone,1,2019
Lerager Lukas,Genoa,1,2019
Adjapong Claud,Sassuolo,1,2019
Romulo Orestes,Genoa,1,2019
Badelj Milan,Lazio,1,2019
Dabo Bryan,Fiorentina,1,2019
Sprocati Mattia,Parma,1,2019
Vignato Emanuel,Chievo,1,2019
Candreva Antonio,Inter,1,2019
Barrow Musa,Atalanta,1,2019
Albiol Raul,Napoli,1,2019
Chiellini Giorgio,Juventus,1,2019
Marusic Adam,Lazio,1,2019
Dijks Mitchell,Bologna,1,2019
Nuytinck Bram,Udinese,1,2019
Toloi Rafael,Atalanta,1,2019
Siligardi Luca,Parma,1,2019
Pjaca Marko,Fiorentina,1,2019
Juan Jesus Guilherme,Roma,1,2019
Djordjevic Filip,Chievo,1,2019
Pisacane Fabio,Cagliari,1,2019
Tonelli Lorenzo,Sampdoria,1,2019
Cuadrado Juan,Juventus,1,2019
Pasqual Manuel,Empoli,1,2019
De Maio Sebastien,Udinese,1,2019
Uçan Salih,Empoli,1,2019
Hiljemark Oscar,Genoa,1,2019
Biglia Lucas,Milan,1,2019
Obi Joel,Chievo,1,2019
De Rossi Daniele,Roma,1,2019
Hallfredsson Emil,Udinese,1,2019
Brignola Enrico,Sassuolo,1,2019
Alex Sandro Lobo Silva,Juventus,1,2019
Dell'Orco Cristian,Empoli,1,2019
Rog Marko,Napoli,1,2019
Dionisi Federico,Frosinone,1,2019
