Giocatore,Squadra,Gol Totali,Anno
Osimhen Victor,Napoli,26,2023
Martinez Lautaro,Inter,21,2023
Dia Boulaye,Salernitana,16,2023
Leao Rafael,Milan,14,2023
Lookman Ademola,Atalanta,14,2023
Giroud Olivier,Milan,13,2023
Nzola M'Bala,Spezia,13,2023
Immobile Ciro,Lazio,12,2023
Berardi Domenico,Sassuolo,12,2023
Kvaratskhelia Khvicha,Napoli,12,2023
Dybala Paulo,Roma,12,2023
Sanabria Antonio,Torino,12,2023
Orsolini Riccardo,Bologna,11,2023
Koopmeiners Teun,Atalanta,10,2023
Arnautovic Marko,Bologna,10,2023
Beto Norberto Bercique Gomes,Udinese,10,2023
Zaccagni Mattia,Lazio,10,2023
Vlahovic Dusan,Juventus,10,2023
Lukaku Romelu,Inter,10,2023
Felipe Anderson Pereira Gomes,Lazio,9,2023
Dzeko Edin,Inter,9,2023
Milinkovic-Savic Sergej,Lazio,9,2023
Hojlund Rasmus,Atalanta,9,2023
Rabiot Adrien,Juventus,8,2023
Strefezza Gabriel,Lecce,8,2023
Abraham Tammy,Roma,8,2023
Ciofani Daniel,Cremonese,8,2023
Cabral Arthur,Fiorentina,8,2023
El Shaarawy Stephan,Roma,7,2023
Okereke David Chidozie,Cremonese,7,2023
Frattesi Davide,Sassuolo,7,2023
Gabbiadini Manolo,Sampdoria,7,2023
Laurientè Armand,Sassuolo,7,2023
Ferguson Lewis,Bologna,7,2023
Milik Arkadiusz,Juventus,7,2023
Candreva Antonio,Salernitana,7,2023
Jovic Luka,Fiorentina,6,2023
Gonzalez Nicolas,Fiorentina,6,2023
Elmas Eljif,Napoli,6,2023
Caprari Gianluca,Monza,6,2023
Diaz Brahim,Milan,6,2023
Dessers Cyriel,Cremonese,6,2023
Ceesay Assan,Lecce,6,2023
Cambiaghi Nicolò,Empoli,6,2023
Pereyra Roberto,Udinese,6,2023
Barella Nicolò,Inter,6,2023
Posch Stefan,Bologna,6,2023
Luis Alberto Romero Alconchel,Lazio,6,2023
Ciurria Patrick,Monza,6,2023
Carlos Augusto Zopolato Neves,Monza,6,2023
Kean Moise,Juventus,6,2023
Hernandez Theo,Milan,5,2023
Colombo Lorenzo,Lecce,5,2023
Pasalic Mario,Atalanta,5,2023
Pinamonti Andrea,Sassuolo,5,2023
Messias Junior,Milan,5,2023
Vlasic Nikola,Torino,5,2023
Lovric Sandi,Udinese,5,2023
Mota Dany,Monza,5,2023
Pessina Matteo,Monza,5,2023
Samardzic Lazar,Udinese,5,2023
Verdi Simone,Verona,5,2023
Bonaventura Giacomo,Fiorentina,5,2023
Caputo Francesco,Empoli,5,2023
,Lazio,4,2023
Muriel Luis,Atalanta,4,2023
Simeone Giovanni,Napoli,4,2023
Baschirotto Federico,Lecce,4,2023
Saponara Riccardo,Fiorentina,4,2023
Pellegrini Lorenzo,Roma,4,2023
Baldanzi Tommaso,Empoli,4,2023
Kouamé Christian,Fiorentina,4,2023
Colpani Andrea,Monza,4,2023
Zappacosta Davide,Atalanta,4,2023
Petagna Andrea,Monza,4,2023
Miranchuk Aleksey,Torino,4,2023
Mkhitaryan Henrikh,Inter,4,2023
Ikoné Jonathan,Fiorentina,4,2023
Sansone Nicola,Bologna,4,2023
