Giocatore,Squadra,Assist,Anno
Ruslan Malinovskyi,Atalanta,12,2021
Romelu Lukaku,Inter,11,2021
Juan Cuadrado,Juventus,10,2021
Piotr Zieliński,Napoli,10,2021
Henrikh Mkhitaryan,Roma,10,2021
Josip Iličić,Atalanta,9,2021
Álvaro Morata,Juventus,9,2021
Hakan Çalhanoğlu,Milan,9,2021
Sergej Milinković-Savić,Lazio,9,2021
Rodrigo De Paul,Udinese,9,2021
Luis Muriel,Atalanta,9,2021
Federico Chiesa,Juventus,9,2021
Dries Mertens,Napoli,8,2021
Achraf Hakimi,Inter,8,2021
Musa Barrow,Bologna,8,2021
