Giocatore,Squadra,Gol Totali,Anno
Cristiano Ronaldo Dos Santos Aveiro,Juventus,29,2021
Lukaku Romelu,Inter,24,2021
Muriel Luis,Atalanta,22,2021
Vlahovic Dusan,Fiorentina,21,2021
Simy Tochukwu Simeon Nwankwo,Crotone,20,2021
Immobile Ciro,Lazio,20,2021
Insigne Lorenzo,Napoli,19,2021
Martinez Lautaro,Inter,17,2021
Berardi Domenico,Sassuolo,17,2021
Joao Pedro Guerra Cunha,Cagliari,16,2021
Zapata Duvan,Atalanta,15,2021
Ibrahimovic Zlatan,Milan,15,2021
Quagliarella Fabio,Sampdoria,13,2021
Mkhitaryan Henrikh,Roma,13,2021
Kessie Franck,Milan,13,2021
Belotti Andrea,Torino,13,2021
Caputo Francesco,Sassuolo,11,2021
Gosens Robin,Atalanta,11,2021
Rebic Ante,Milan,11,2021
Nzola M'Bala,Spezia,11,2021
Morata Alvaro,Juventus,11,2021
Destro Mattia,Genoa,11,2021
Lozano Hirving,Napoli,11,2021
Mayoral Borja,Roma,10,2021
Osimhen Victor,Napoli,10,2021
Veretout Jordan,Roma,10,2021
Soriano Roberto,Bologna,9,2021
Mertens Dries,Napoli,9,2021
Luis Alberto Romero,Lazio,9,2021
De Paul Rodrigo Javier,Udinese,9,2021
Politano Matteo,Napoli,9,2021
Zielinski Piotr,Napoli,9,2021
Messias Junior Walter,Crotone,9,2021
Lapadula Gianluca,Benevento,8,2021
Caicedo Felipe,Lazio,8,2021
Scamacca Gianluca,Genoa,8,2021
Correa Joaquín,Lazio,8,2021
Chiesa Federico,Juventus,8,2021
Shomurodov Eldor,Genoa,8,2021
Barrow Musa,Bologna,8,2021
Malinovskyi Ruslan,Atalanta,8,2021
Milinkovic-Savic Sergej,Lazio,8,2021
Dzeko Edin,Roma,7,2021
Pellegrini Lorenzo,Roma,7,2021
Hakimi Achraf,Inter,7,2021
Sanchez Alexis,Inter,7,2021
Orsolini Riccardo,Bologna,7,2021
Kucka Juraj,Parma,7,2021
Hernandez Theo,Milan,7,2021
Keita Baldé Diao,Sampdoria,7,2021
Pandev Goran,Genoa,7,2021
Hernani Azevedo Junior,Parma,7,2021
Barak Antonin,Verona,7,2021
Leao Rafael,Milan,6,2021
Verde Daniele,Spezia,6,2021
Raspadori Giacomo,Sassuolo,6,2021
Pasalic Mario,Atalanta,6,2021
Ilicic Josip,Atalanta,6,2021
Simeone Giovanni Pablo,Cagliari,6,2021
Jankto Jakub,Sampdoria,6,2021
Zaza Simone,Torino,6,2021
Pobega Tommaso,Spezia,6,2021
Candreva Antonio,Sampdoria,5,2021
McKennie Wenston,Juventus,5,2021
Viola Nicolas Benito,Benevento,5,2021
Djuricic Filip,Sassuolo,5,2021
Gervinho Gervais Lombe Yao Kouassi,Parma,5,2021
Pereyra Roberto,Udinese,5,2021
Traorè Hamed Junior,Sassuolo,5,2021
Pedro Rodriguez Ledesma,Roma,5,2021
Dimarco Federico,Verona,5,2021
Bremer Gleison,Torino,5,2021
Caprari Gianluca,Benevento,5,2021
Palacio Rodrigo,Bologna,5,2021
Piccoli Roberto,Spezia,5,2021
Svanberg Mattias,Bologna,5,2021
Sanabria Antonio,Torino,5,2021
Castrovilli Gaetano,Fiorentina,5,2021
Zaccagni Mattia,Verona,5,2021
Rabiot Adrien,Juventus,4,2021
