Giocatore,Squadra,Gol Totali,Anno
Isaksen Gustav,Lazio,3,2024
Suslov Tomas,Verona,3,2024
Kaio Jorge Pinto Ramos,Frosinone,3,2024
Henry Thomas,Verona,3,2024
Reijnders Tijjani,Milan,3,2024
Barella Nicolò,Inter,2,2024
Rugani Daniele,Juventus,2,2024
Patric Gabarron Gil,Lazio,2,2024
Biraghi Cristiano,Fiorentina,2,2024
Muriel Luis,Atalanta,2,2024
Lirola Pol,Frosinone,2,2024
Duncan Alfred,Fiorentina,2,2024
De Silvestri Lorenzo,Bologna,2,2024
Zappacosta Davide,Atalanta,2,2024
Kouamé Christian,Fiorentina,2,2024
Bani Mattia,Genoa,2,2024
Sanchez Alexis,Inter,2,2024
Mkhitaryan Henrikh,Inter,2,2024
Darmian Matteo,Inter,2,2024
Sansone Nicola,Lecce,2,2024
Ranieri Luca,Fiorentina,2,2024
Sottil Riccardo,Fiorentina,2,2024
Gabbia Matteo,Milan,2,2024
Zortea Nadir,Frosinone (1) -  Atalanta (1),2,2024
Dossena Alberto,Cagliari,2,2024
Barak Antonin,Fiorentina,2,2024
Bennacer Ismael,Milan,2,2024
Odgaard Jens,Bologna,2,2024
Cambiaso Andrea,Juventus,2,2024
Lykogiannis Charalampos,Bologna,2,2024
Mina Yerry,Cagliari,2,2024
Nandez Nahitan,Cagliari,2,2024
Arthur Henrique Ramos,Fiorentina,2,2024
Calafiori Riccardo,Bologna,2,2024
Guendouzi Matteo,Lazio,2,2024
Elmas Eljif,Napoli,2,2024
Monterisi Ilario,Frosinone,2,2024
Thorsby Morten,Genoa,2,2024
Walace Souza Silva,Udinese,2,2024
Bajrami Nedim,Sassuolo,2,2024
Dragusin Radu,Genoa,2,2024
Oristanio Gaetano,Cagliari,2,2024
Baldanzi Tommaso,Empoli,2,2024
Kamada Daichi,Lazio,2,2024
Touré El Bilal,Atalanta,2,2024
Coppola Diego,Verona,2,2024
Reinier Jesus Carvalho,Frosinone,2,2024
Swiderski Karol,Verona,2,2024
Gendrey Valentin,Lecce,2,2024
Matheus Henrique De Souza,Sassuolo,2,2024
Frendrup Morten,Genoa,2,2024
Vitinha Vítor Manuel,Genoa,2,2024
Carboni V. Valentin,Monza,2,2024
Sulemana Ibrahim,Cagliari,2,2024
Huijsen Dean,Roma,2,2024
Zarraga Oier,Udinese,2,2024
Banda Lameck,Lecce,2,2024
Yildiz Kenan,Juventus,2,2024
Dorgu Patrick,Lecce,2,2024
Bisseck Yann,Inter,2,2024
El Azzouzi Oussama,Bologna,2,2024
Almqvist Pontus,Lecce,2,2024
Payero Martin,Udinese,2,2024
Freuler Remo,Bologna,1,2024
Gagliardini Roberto,Monza,1,2024
Spinazzola Leonardo,Roma,1,2024
Petagna Andrea,Cagliari,1,2024
Di Francesco Federico,Lecce,1,2024
Ferrari Gian Marco,Sassuolo,1,2024
Badelj Milan,Genoa,1,2024
Biraschi Davide,Genoa,1,2024
Simeone Giovanni,Napoli,1,2024
Alex Sandro Lobo Silva,Juventus,1,2024
De Vrij Stefan,Inter,1,2024
Cataldi Danilo,Lazio,1,2024
Calabria Davide,Milan,1,2024
Locatelli Manuel,Juventus,1,2024
Fazio Federico,Salernitana,1,2024
Juan Jesus Guilherme,Napoli,1,2024
Florenzi Alessandro,Milan,1,2024
Erlic Martin,Sassuolo,1,2024
Defrel Gregoire,Sassuolo,1,2024
Jankto Jakub,Cagliari,1,2024
Castrovilli Gaetano,Fiorentina,1,2024
Romagnoli Simone,Frosinone,1,2024
Luperto Sebastiano,Empoli,1,2024
Cerri Alberto,Empoli,1,2024
Strefezza Gabriel,Lecce,1,2024
Baez Jaime,Frosinone,1,2024
Deiola Alessandro,Cagliari,1,2024
Gyasi Emmanuel,Empoli,1,2024
Bastoni Simone,Empoli,1,2024
Augello Tommaso,Cagliari,1,2024
Di Lorenzo Giovanni,Napoli,1,2024
Messias Junior,Genoa,1,2024
Renato Sanches Junior Luz,Roma,1,2024
Danilo Luiz da Silva,Juventus,1,2024
Kovalenko Viktor,Empoli,1,2024
Pellegrini Luca,Lazio,1,2024
Bastoni Alessandro,Inter,1,2024
Pellegri Pietro,Torino,1,2024
Bellanova Raoul,Torino,1,2024
Zappa Gabriele,Cagliari,1,2024
Moro Nikola,Bologna,1,2024
Rodriguez Ricardo,Torino,1,2024
Marusic Adam,Lazio,1,2024
Cambiaghi Nicolò,Empoli,1,2024
Pirola Lorenzo,Salernitana,1,2024
Posch Stefan,Bologna,1,2024
Llorente Diego,Roma,1,2024
Duda Ondrej,Verona,1,2024
Kristensen Rasmus,Roma,1,2024
Racic Uros,Sassuolo,1,2024
Kolasinac Sead,Atalanta,1,2024
Boloca Daniel,Sassuolo,1,2024
Ricci Samuele,Torino,1,2024
Pierozzi Niccolò,Salernitana,1,2024
Kabasele Christian,Udinese,1,2024
Adli Yacine,Milan,1,2024
Carboni A. Andrea,Monza,1,2024
Schuurs Perr,Torino,1,2024
Bakker Mitchel,Atalanta,1,2024
Rafia Hamza,Lecce,1,2024
Chukwueze Samuel,Milan,1,2024
Asllani Kristjan,Inter,1,2024
Viti Mattia,Sassuolo,1,2024
Caldirola Luca,Monza,1,2024
Brekalo Josip,Fiorentina,1,2024
Ramadani Ylber,Lecce,1,2024
Abraham Tammy,Roma,1,2024
Miretti Fabio,Juventus,1,2024
Maric Mirko,Monza,1,2024
Vignato Samuele,Monza,1,2024
Scalvini Giorgio,Atalanta,1,2024
Iling-Junior Samuel,Juventus,1,2024
Traorè Chaka,Milan,1,2024
Kayode Olabode Michael,Fiorentina,1,2024
Weissman Shon,Salernitana,1,2024
Ndoye Dan,Bologna,1,2024
Fazzini Jacopo,Empoli,1,2024
Volpato Cristian,Sassuolo,1,2024
Kamara Hassane,Udinese,1,2024
Sambia Junior,Salernitana,1,2024
Prati Matteo,Cagliari,1,2024
Lovric Sandi,Udinese,1,2024
Ostigard Leo,Napoli,1,2024
Davis Keinan,Udinese,1,2024
Vasquez Johan,Genoa,1,2024
Success Isaac,Udinese,1,2024
Gonzalez  Joan,Lecce,1,2024
Olivera Mathias,Napoli,1,2024
Zemura Jordan,Udinese,1,2024
Cabral Jovane,Salernitana,1,2024
Holm Emil,Atalanta,1,2024
Bondo Warren,Monza,1,2024
Makoumbou Antoine,Cagliari,1,2024
Savva  Zannetos,Torino,1,2024
Simic  Jan-Carlo,Milan,1,2024
Buchanan Tajon,Inter,1,2024
Ibrahimovic Arijon,Frosinone,1,2024
Beukema Sam,Bologna,1,2024
Cuni Marvin,Frosinone,1,2024
Martegani Agustin,Salernitana,1,2024
Ikwuemesi Chukwubuikem,Salernitana,1,2024
Mutandwa  Kingstone,Cagliari,1,2024
Pedro Rodriguez Ledesma,Lazio,1,2024
Giannetti Lautaro,Udinese,1,2024
Castro Santiago,Bologna,1,2024
