Giocatore,Squadra,Gol Totali,Anno
Martinez Lautaro,Inter,24,2024
Vlahovic Dusan,Juventus,16,2024
Giroud Olivier,Milan,15,2024
Osimhen Victor,Napoli,15,2024
Gudmundsson Albert,Genoa,14,2024
Dybala Paulo,Roma,13,2024
Zapata Duvan,Torino,13,2024
Calhanoglu Hakan,Inter,13,2024
Thuram Marcus,Inter,13,2024
Lukaku Romelu,Roma,13,2024
Pulisic Christian,Milan,12,2024
Scamacca Gianluca,Atalanta,12,2024
Koopmeiners Teun,Atalanta,12,2024
Gonzalez Nicolas,Fiorentina,12,2024
Pinamonti Andrea,Sassuolo,11,2024
Lookman Ademola,Atalanta,11,2024
Soulé Matias,Frosinone,11,2024
Zirkzee Joshua,Bologna,11,2024
Kvaratskhelia Khvicha,Napoli,11,2024
Orsolini Riccardo,Bologna,10,2024
De Ketelaere Charles,Atalanta,10,2024
Chiesa Federico,Juventus,9,2024
Berardi Domenico,Sassuolo,9,2024
Djuric Milan,Monza (4) -  Verona (5 (1 r.)),9,2024
Leao Rafael,Milan,9,2024
Bonaventura Giacomo,Fiorentina,8,2024
Pellegrini Lorenzo,Roma,8,2024
Politano Matteo,Napoli,8,2024
Colpani Andrea,Monza,8,2024
Lucca Lorenzo,Udinese,8,2024
Immobile Ciro,Lazio,7,2024
Cheddira Walid,Frosinone,7,2024
Ngonge Cyril,Napoli (1) -  Verona (6),7,2024
Krstovic Nikola,Lecce,7,2024
Retegui Mateo,Genoa,7,2024
Vecino Matías,Lazio,6,2024
Candreva Antonio,Salernitana,6,2024
Pasalic Mario,Atalanta,6,2024
Niang M'Baye,Empoli,6,2024
Belotti Andrea,Roma (3) -  Fiorentina (3),6,2024
Zaccagni Mattia,Lazio,6,2024
Pessina Matteo,Monza,6,2024
Loftus-Cheek Ruben,Milan,6,2024
Frattesi Davide,Inter,6,2024
Okafor Noah,Milan,6,2024
Jovic Luka,Milan,6,2024
Thorstvedt Kristian,Sassuolo,6,2024
Samardzic Lazar,Udinese,6,2024
Ferguson Lewis,Bologna,6,2024
Ederson José dos Santos,Atalanta,6,2024
Beltran Lucas,Fiorentina,6,2024
Dimarco Federico,Inter,5,2024
Felipe Anderson Pereira Gomes,Lazio,5,2024
Luis Alberto Romero Alconchel,Lazio,5,2024
Mazzitelli Luca,Frosinone,5,2024
Viola Nicolas,Cagliari,5,2024
Rabiot Adrien,Juventus,5,2024
Folorunsho Michael,Verona,5,2024
Gaetano Gianluca,Napoli (1) -  Cagliari (4 (1 r.)),5,2024
Raspadori Giacomo,Napoli,5,2024
Hernandez Theo,Milan,5,2024
Piccoli Roberto,Lecce,5,2024
Thauvin Florian,Udinese,5,2024
Sanabria Antonio,Torino,5,2024
Laurientè Armand,Sassuolo,5,2024
Arnautovic Marko,Inter,5,2024
Fabbian Giovanni,Bologna,5,2024
Martinez Quarta Lucas,Fiorentina,5,2024
Noslin Tijani,Verona,5,2024
Pavoletti Leonardo,Cagliari,4,2024
Milik Arkadiusz,Juventus,4,2024
Mancini Gianluca,Roma,4,2024
Maggiore Giulio,Salernitana,4,2024
Mota Dany,Monza,4,2024
Aouar Houssem,Roma,4,2024
Malinovskyi Ruslan,Genoa,4,2024
Brescianini Marco,Frosinone,4,2024
Dumfries Denzel,Inter,4,2024
Zurkowski Szymon,Empoli,4,2024
Maldini Daniel,Monza,4,2024
Colombo Lorenzo,Monza,4,2024
Saelemaekers Alexis,Bologna,4,2024
Cancellieri Matteo,Empoli,4,2024
Gatti Federico,Juventus,4,2024
Tomori Fikayo,Milan,4,2024
Pereyra Roberto,Udinese,4,2024
Dia Boulaye,Salernitana,4,2024
Luvumbo Zito,Cagliari,4,2024
Ekuban Caleb,Genoa,4,2024
Castellanos Valentin,Lazio,4,2024
Tchaouna Loum,Salernitana,4,2024
Simy Nwankwo,Salernitana,3,2024
Lazovic Darko,Verona,3,2024
Mandragora Rolando,Fiorentina,3,2024
Lapadula Gianluca,Cagliari,3,2024
Zielinski Piotr,Napoli,3,2024
Cristante Bryan,Roma,3,2024
Paredes Leandro,Roma,3,2024
El Shaarawy Stephan,Roma,3,2024
Acerbi Francesco,Inter,3,2024
Bonazzoli Federico,Verona,3,2024
Caputo Francesco,Empoli,3,2024
Nzola M'Bala,Fiorentina,3,2024
Azmoun Sardar,Roma,3,2024
Kastanos Grigoris,Salernitana,3,2024
Buongiorno Alessandro,Torino,3,2024
Vlasic Nikola,Torino,3,2024
Radonjic Nemanja,Torino,3,2024
Miranchuk Aleksey,Atalanta,3,2024
Bremer Gleison,Juventus,3,2024
Rrahmani Amir,Napoli,3,2024
Ikoné Jonathan,Fiorentina,3,2024
Ilic Ivan,Torino,3,2024
Shomurodov Eldor,Cagliari,3,2024
Oudin Remi,Lecce,3,2024
Harroui Abdou,Frosinone,3,2024
